Key	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Series_title	"""Transcriptional effects of soluble CD40 ligand on human immature dendritic cells"""																													
Series_geo_accession	"""GSE85544"""																													
Series_status	"""Public on Jun 08 2017"""																													
Series_submission_date	"""Aug 12 2016"""																													
Series_last_update_date	"""Apr 20 2018"""																													
Series_pubmed_id	"""28455435"""																													
Series_summary	"""We performed microarray analysis of sCD40L-stimulated iDC to derive a signature of CD40 activation. Human monocytes from normal healthy donors were differentiated to iDCs with GM-CSF and IL4. FACS analysis demonstrated the immature status of these cells, illustrated by low expression of CD80, CD40, and CD86.  We confirmed that sCD40L induces the maturation of DCs, characterized by higher expression of CD80, HLA-DR, CD86, CD83 and CD40 and secretion of pro-inflammatory cytokines at 24hr post-stimulation. Cells were harvested at 1, 3 and 24hr post-stimulation for microarray analysis."""																													
Series_overall_design	"""Immature dendritic cells were derived from 5 healthy donors. Cells were treated with vehicle control or soluble CD40L for 1, 3, or 24hrs before RNA extraction and microarray processing with Affymetrix HT-HGU133 2 Plus PM arrays."""																													
Series_type	"""Expression profiling by array"""																													
Series_contributor	"""Alice,M,Walsh"""																													
Series_contributor	"""Yanxia,,Guo"""																													
Series_sample_id	"""GSM2276855 GSM2276856 GSM2276857 GSM2276858 GSM2276859 GSM2276860 GSM2276861 GSM2276862 GSM2276863 GSM2276864 GSM2276865 GSM2276866 GSM2276867 GSM2276868 GSM2276869 GSM2276870 GSM2276871 GSM2276872 GSM2276873 GSM2276874 GSM2276875 GSM2276876 GSM2276877 GSM2276878 GSM2276879 GSM2276880 GSM2276881 GSM2276882 GSM2276883 GSM2276884 """																													
Series_contact_name	"""Alice,,Walsh"""																													
Series_contact_email	"""awalsh17@its.jnj.com"""																													
Series_contact_department	"""Immunology"""																													
Series_contact_institute	"""Janssen R&D"""																													
Series_contact_address	"""Welsh & McKean Roads"""																													
Series_contact_city	"""Spring House"""																													
Series_contact_state	"""PA"""																													
Series_contact_zip/postal_code	"""19477"""																													
Series_contact_country	"""USA"""																													
Series_supplementary_file	"""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85544/suppl/GSE85544_RAW.tar"""																													
Series_platform_id	"""GPL13158"""																													
Series_platform_taxid	"""9606"""																													
Series_sample_taxid	"""9606"""																													
Series_relation	"""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA338768"""																													
Sample_title	"""iDC_M5137_vehicle_1h"""	"""iDC_M5137_sCD40L_1h"""	"""iDC_M5137_vehicle_3h"""	"""iDC_M5137_sCD40L_3h"""	"""iDC_M5137_vehicle_24h"""	"""iDC_M5137_sCD40L_24h"""	"""iDC_M5772_vehicle_1h"""	"""iDC_M5772_sCD40L_1h"""	"""iDC_M5772_vehicle_3h"""	"""iDC_M5772_sCD40L_3h"""	"""iDC_M5772_vehicle_24h"""	"""iDC_M5772_sCD40L_24h"""	"""iDC_M6801_vehicle_1h"""	"""iDC_M6801_sCD40L_1h"""	"""iDC_M6801_vehicle_3h"""	"""iDC_M6801_sCD40L_3h"""	"""iDC_M6801_vehicle_24h"""	"""iDC_M6801_sCD40L_24h"""	"""iDC_M6807_vehicle_1h"""	"""iDC_M6807_sCD40L_1h"""	"""iDC_M6807_vehicle_3h"""	"""iDC_M6807_sCD40L_3h"""	"""iDC_M6807_vehicle_24h"""	"""iDC_M6807_sCD40L_24h"""	"""iDC_M7015_vehicle_1h"""	"""iDC_M7015_sCD40L_1h"""	"""iDC_M7015_vehicle_3h"""	"""iDC_M7015_sCD40L_3h"""	"""iDC_M7015_vehicle_24h"""	"""iDC_M7015_sCD40L_24h"""
Sample_geo_accession	"""GSM2276855"""	"""GSM2276856"""	"""GSM2276857"""	"""GSM2276858"""	"""GSM2276859"""	"""GSM2276860"""	"""GSM2276861"""	"""GSM2276862"""	"""GSM2276863"""	"""GSM2276864"""	"""GSM2276865"""	"""GSM2276866"""	"""GSM2276867"""	"""GSM2276868"""	"""GSM2276869"""	"""GSM2276870"""	"""GSM2276871"""	"""GSM2276872"""	"""GSM2276873"""	"""GSM2276874"""	"""GSM2276875"""	"""GSM2276876"""	"""GSM2276877"""	"""GSM2276878"""	"""GSM2276879"""	"""GSM2276880"""	"""GSM2276881"""	"""GSM2276882"""	"""GSM2276883"""	"""GSM2276884"""
Sample_status	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""	"""Public on Jun 08 2017"""
